Component,Purpose,Qty,Price,Product
LiPo Battery 3.7V,Fuente de energia principal,1,~$2.29,(ya la tienes)
TP4056-42-ESOP8,IC de carga,1,~$0.09,https://www.lcsc.com/product-detail/Battery-Management-ICs_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.html
DW01A-G,Controlador de proteccion,1,~$0.07,https://www.lcsc.com/product-detail/C61503.html
FS8205A,MOSFETs de proteccion,1,~$0.03,https://www.lcsc.com/product-detail/MOSFETs_FUXINSEMI-FS8205A_C908265.html
MAX17048G+T10,Fuel gauge (I2C),1,~$1.34,https://www.lcsc.com/product-detail/C2682616.html
ATtiny1614-SSN,Microcontrolador,1,~$1.67,https://www.lcsc.com/product-detail/Microcontroller-Units-MCUs-MPUs-SOCs_Microchip-Tech-ATTINY1614-SSN_C614832.html
MT3608,Boost converter a 5V,1,~$0.11,https://www.lcsc.com/product-detail/C84817.html
USB-C Receptacle (Hroparts),Entrada de carga,1,~$0.10,https://www.lcsc.com/product-detail/C165948.html
USB-A Receptacle THT,Salida de energia,1,~$0.15,generico - cualquier tienda
OLED 0.91in I2C SSD1306,Pantalla de bateria,1,~$1.20,https://www.aliexpress.com/item/33024849277.html
Pulsador momentaneo 6mm,Despertar pantalla,1,~$0.05,generico
SS34 Schottky,Diodo del boost,1,~$0.05,generico
LEDs indicadores (CHRG/STDBY),Indicadores de carga,2,~$0.02 ea.,generico
Resistencias SMD varias,"5.1k, 4.7k, 2.4k, 470, 1k, 10k, 75k",10,~$0.01 ea.,generico
Capacitores SMD (10-22uF),Desacople/filtro,6,~$0.03 ea.,generico
